Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Vaidyanatheswara Temple,Talakad,23,4.173913043478261,0,6,17,0.0,0.2608695652173913,0.7391304347826086,0.7391304347826086
Mahi Dam,Banswara,23,4.130434782608695,0,6,17,0.0,0.2608695652173913,0.7391304347826086,0.7391304347826086
Taj Mahal,Agra,23215,4.32259315097997,1253,3552,18410,0.05397372388541891,0.15300452293775577,0.7930217531768253,0.7390480292914064
Emerald Lake,Ooty,249,4.257028112449799,12,41,196,0.04819277108433735,0.1646586345381526,0.7871485943775101,0.7389558232931727
Himalayan Zoological Park,Gangtok,624,4.177884615384615,27,109,488,0.04326923076923077,0.17467948717948717,0.782051282051282,0.7387820512820513
Betty's Place Boat Trips,Cavelossim,111,4.342342342342342,8,13,90,0.07207207207207207,0.11711711711711711,0.8108108108108109,0.7387387387387387
Vidhan Sabha Bhawan Council House,Lucknow,88,4.193181818181818,7,9,72,0.07954545454545454,0.10227272727272728,0.8181818181818182,0.7386363636363636
Butterfly park - Ovalekar Wadi,Thane,65,4.4,1,15,49,0.015384615384615385,0.23076923076923078,0.7538461538461538,0.7384615384615385
Craignano,Mashobra,65,4.3076923076923075,2,13,50,0.03076923076923077,0.2,0.7692307692307693,0.7384615384615385
Kerala Kathakali Centre,Kochi (Cochin),1579,4.260291323622546,59,295,1225,0.037365421152628246,0.18682710576314124,0.7758074730842305,0.7384420519316023
Chemre Gompa Monastery,Leh,42,4.357142857142857,2,7,33,0.047619047619047616,0.16666666666666666,0.7857142857142857,0.7380952380952381
Bharat Ma,Mount Abu,42,4.238095238095238,0,11,31,0.0,0.2619047619047619,0.7380952380952381,0.7380952380952381
Chinese Temple,Bodh Gaya,42,4.071428571428571,0,11,31,0.0,0.2619047619047619,0.7380952380952381,0.7380952380952381
Vani Vilas Sagar Dam,Chitradurga,84,4.2976190476190474,2,18,64,0.023809523809523808,0.21428571428571427,0.7619047619047619,0.738095238095238
Sambhar Salt Lake,Kuchaman,42,4.166666666666667,1,9,32,0.023809523809523808,0.21428571428571427,0.7619047619047619,0.738095238095238
Powai Lake,Mumbai,271,4.328413284132841,14,43,214,0.05166051660516605,0.15867158671586715,0.7896678966789668,0.7380073800738007
Ladghar Beach,Dapoli,187,4.235294117647059,12,25,150,0.06417112299465241,0.13368983957219252,0.8021390374331551,0.7379679144385026
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,797,4.277289836888332,33,143,621,0.04140526976160602,0.1794228356336261,0.7791718946047679,0.7377666248431618
Baba Reshi Shrine,Gulmarg,61,4.278688524590164,5,6,50,0.08196721311475409,0.09836065573770492,0.819672131147541,0.7377049180327869
Kadri Hill Park,Mangalore,61,4.278688524590164,5,6,50,0.08196721311475409,0.09836065573770492,0.819672131147541,0.7377049180327869
Christ the King Church,Hyderabad,61,4.19672131147541,0,16,45,0.0,0.26229508196721313,0.7377049180327869,0.7377049180327869
Sri Rangam Ranga Nathar Temple,Tiruchirappalli,61,4.163934426229508,2,12,47,0.03278688524590164,0.19672131147540983,0.7704918032786885,0.7377049180327868
Prasanthi Nilayam,Puttaparthi,141,4.382978723404255,5,27,109,0.03546099290780142,0.19148936170212766,0.7730496453900709,0.7375886524822695
Nehru Zoological Park,Hyderabad,1202,4.254575707154742,67,182,953,0.05574043261231281,0.15141430948419302,0.7928452579034941,0.7371048252911814
Salabat Khan's Tomb,Ahmednagar,19,4.526315789473684,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Ambreshwar Shiva Temple,Mumbai,19,4.368421052631579,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Meja Dam,Bhilwara,19,4.368421052631579,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Shri Falna Swarna Jain Tirth - Golden Jain Temple,Ranakpur,19,4.2631578947368425,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Shri Wagheshwar Temple,Malvan,19,4.2631578947368425,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Kolthare Beach,Dapoli,19,4.2105263157894735,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Ulakkai Aruvi,Nagercoil,19,4.2105263157894735,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Akshi Beach,Alibaug,76,4.157894736842105,5,10,61,0.06578947368421052,0.13157894736842105,0.8026315789473685,0.736842105263158
Magadi RanganathaSwamy Temple,Magadi,19,4.157894736842105,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Sreevaraham Temple Pond,Trivandrum,19,4.157894736842105,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Coastal City Center,Bhimavaram,19,4.105263157894737,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Ramanaidu Film Studios,Visakhapatnam (Vizag),19,4.052631578947368,1,3,15,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.736842105263158
Vanganga Lake Garden,Silvassa,76,4.394736842105263,6,8,62,0.07894736842105263,0.10526315789473684,0.8157894736842105,0.7368421052631579
Lakshadweep Tour Package - Day Tours,Agatti,19,4.315789473684211,0,5,14,0.0,0.2631578947368421,0.7368421052631579,0.7368421052631579
Wax Planet,Ooty,19,4.315789473684211,0,5,14,0.0,0.2631578947368421,0.7368421052631579,0.7368421052631579
Shri Adishwar Temple,Bhavnagar,19,4.2631578947368425,0,5,14,0.0,0.2631578947368421,0.7368421052631579,0.7368421052631579
Vashishti River,Chiplun,38,4.2631578947368425,3,4,31,0.07894736842105263,0.10526315789473684,0.8157894736842105,0.7368421052631579
Vidyashankar Temple,Sringeri,19,4.2631578947368425,0,5,14,0.0,0.2631578947368421,0.7368421052631579,0.7368421052631579
Sikia Jhora,Jalpaiguri,19,4.2105263157894735,0,5,14,0.0,0.2631578947368421,0.7368421052631579,0.7368421052631579
