City,total_reviews,total_places,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Morjim,2102,12,4.6236917221693625,39,159,1904,0.018553758325404377,0.07564224548049477,0.9058039961941009,0.8872502378686965
Nongpoh,96,2,4.489583333333333,2,7,87,0.020833333333333332,0.07291666666666667,0.90625,0.8854166666666666
Garbeta,26,2,4.6923076923076925,0,3,23,0.0,0.11538461538461539,0.8846153846153846,0.8846153846153846
Mandawa,26,3,4.461538461538462,0,3,23,0.0,0.11538461538461539,0.8846153846153846,0.8846153846153846
Thodupuzha,77,8,4.532467532467533,0,9,68,0.0,0.11688311688311688,0.8831168831168831,0.8831168831168831
Khubi,84,1,4.511904761904762,1,8,75,0.011904761904761904,0.09523809523809523,0.8928571428571429,0.880952380952381
Somnathpur,25,1,4.64,0,3,22,0.0,0.12,0.88,0.88
Banjar,25,3,4.48,0,3,22,0.0,0.12,0.88,0.88
Bilimora,25,6,4.48,0,3,22,0.0,0.12,0.88,0.88
Machilipatnam,33,4,4.545454545454546,1,2,30,0.030303030303030304,0.06060606060606061,0.9090909090909091,0.8787878787878788
Koraput,57,7,4.315789473684211,0,7,50,0.0,0.12280701754385964,0.8771929824561403,0.8771929824561403
Agonda,2382,17,4.6200671704450045,53,187,2142,0.02225020990764064,0.0785054575986566,0.8992443324937027,0.8769941225860621
Etmadpur,8,1,4.875,0,1,7,0.0,0.125,0.875,0.875
Nedumbassery,40,3,4.725,1,3,36,0.025,0.075,0.9,0.875
Parwanoo,8,2,4.625,0,1,7,0.0,0.125,0.875,0.875
Jetpur,16,1,4.5,0,2,14,0.0,0.125,0.875,0.875
Spangmik,16,1,4.5,1,0,15,0.0625,0.0,0.9375,0.875
Panna Tiger Reserve,8,1,4.375,0,1,7,0.0,0.125,0.875,0.875
Uppalapadu,16,1,4.375,0,2,14,0.0,0.125,0.875,0.875
Tapovan,311,8,4.639871382636656,8,23,280,0.02572347266881029,0.07395498392282958,0.9003215434083601,0.8745980707395499
Geyzing,303,2,4.564356435643564,5,28,270,0.0165016501650165,0.0924092409240924,0.8910891089108911,0.8745874587458746
Katni,71,10,4.225352112676056,1,7,63,0.014084507042253521,0.09859154929577464,0.8873239436619719,0.8732394366197184
Mannarkkad,71,5,4.492957746478873,0,9,62,0.0,0.1267605633802817,0.8732394366197183,0.8732394366197183
Horanadu,85,2,4.552941176470588,0,11,74,0.0,0.12941176470588237,0.8705882352941177,0.8705882352941177
Kolad,224,10,4.575892857142857,6,17,201,0.026785714285714284,0.07589285714285714,0.8973214285714286,0.8705357142857143
Moradabad,84,10,4.464285714285714,2,7,75,0.023809523809523808,0.08333333333333333,0.8928571428571429,0.8690476190476191
Mahendragarh,15,4,4.066666666666666,0,2,13,0.0,0.13333333333333333,0.8666666666666667,0.8666666666666667
Mandrem,876,9,4.571917808219178,24,69,783,0.0273972602739726,0.07876712328767123,0.8938356164383562,0.8664383561643836
Sunkadahalli,386,1,4.461139896373057,5,42,339,0.012953367875647668,0.10880829015544041,0.8782383419689119,0.8652849740932642
Bhawanipatna,37,10,4.621621621621622,0,5,32,0.0,0.13513513513513514,0.8648648648648649,0.8648648648648649
Sernabatim,37,1,4.486486486486487,0,5,32,0.0,0.13513513513513514,0.8648648648648649,0.8648648648648649
Betul,22,2,4.409090909090909,0,3,19,0.0,0.13636363636363635,0.8636363636363636,0.8636363636363636
Majorda,569,8,4.530755711775044,12,54,503,0.0210896309314587,0.09490333919156414,0.8840070298769771,0.8629173989455184
Nizamabad,51,8,4.549019607843137,0,7,44,0.0,0.13725490196078433,0.8627450980392157,0.8627450980392157
Shegaon,116,2,4.603448275862069,0,16,100,0.0,0.13793103448275862,0.8620689655172413,0.8620689655172413
Sanguem,272,4,4.573529411764706,7,24,241,0.025735294117647058,0.08823529411764706,0.8860294117647058,0.8602941176470588
Paithalmala,78,1,4.461538461538462,1,9,68,0.01282051282051282,0.11538461538461539,0.8717948717948718,0.858974358974359
Kothamangalam,127,4,4.566929133858268,3,12,112,0.023622047244094488,0.09448818897637795,0.8818897637795275,0.8582677165354331
Ullal,14,1,4.285714285714286,1,0,13,0.07142857142857142,0.0,0.9285714285714286,0.8571428571428572
Guirdolim,7,2,4.714285714285714,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Tithal,7,1,4.714285714285714,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Gosaba,49,4,4.653061224489796,1,5,43,0.02040816326530612,0.10204081632653061,0.8775510204081632,0.8571428571428571
Baran,7,5,4.571428571428571,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Kathua,14,5,4.571428571428571,0,2,12,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Mopidevi,7,1,4.571428571428571,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Arki,7,2,4.428571428571429,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Halol,7,1,4.428571428571429,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
Koriya,7,1,4.428571428571429,0,1,6,0.0,0.14285714285714285,0.8571428571428571,0.8571428571428571
